0.3599999, 0.0700129, -0.002033821, 6.904039, 0, -0.00274393453196844586858, 40810.22, -1637.205, -2.423912, 0.004900447, 0.07899015, 325.494, 1.455568, 1.160977, 2.509531
 
0.3699999, 0.06376731, -0.001333692, 6.894293, 0, -0.00256688951023886982780, 40741.19, -1636.625, -2.423912, 0.004900447, 0.07899015, 325.2875, 1.455294, 1.160977, 2.509531
 
0.3799999, 0.05585632, -0.0006960187, 6.884253, 0, -0.0023100049041384895825222461, 40672.33, -1635.97, -2.423912, 0.004900447, 0.07899015, 325.0813, 1.455021, 1.160977, 2.509531
 
0.3899999, 0.04656439, -0.0001374555, 6.873912, 0, -0.00198293812545126570048, 40603.64, -1635.24, -2.423912, 0.004900447, 0.07899015, 324.8754, 1.45475, 1.160977, 2.509531
 
0.3999999, 0.03619981, 0.0003281885, 6.86327, 0, -0.0015968274539177073747, 40535.1, -1634.434, -2.423912, 0.004900447, 0.07899015, 324.6698, 1.454479, 1.160977, 2.509531
 
0.4099999, 0.02508317, 0.0006901866, 6.852323, 0, -0.00116383547075630056422, 40466.73, -1633.551, -2.423912, 0.004900447, 0.07899015, 324.4645, 1.45421, 1.160977, 2.509531
 
0.4199999, 0.0135968, 0.0009410182, 6.841072, 0, -0.0006993183581370388985648880, 40398.52, -1632.59, -2.423912, 0.004900447, 0.07899015, 324.2595, 1.453941, 1.160977, 2.509531
 
0.4299999, 0.002026632, 0.001076986, 6.829515, 0, -0.0002150691861198541254025736, 40330.47, -1631.551, -2.423912, 0.004900447, 0.07899015, 324.0548, 1.453672, 1.160977, 2.509531
 
0.4399998, -0.009255731, 0.001097252, 6.81764, 0, 0.0002729303630116413147249165, 40262.5, -1630.433, -2.423912, 0.004900447, 0.07899015, 323.8501, 1.453397, 1.160977, 2.509531
 
0.4499998, -0.01997278, 0.001004695, 6.805442, 0, 0.000752216304905871457584, 40194.68, -1629.233, -2.423912, 0.004900447, 0.07899015, 323.6457, 1.453116, 1.160977, 2.509531
 
0.4599998, -0.02984003, 0.0008049674, 6.792941, 0, 0.00120952278862965245113, 40127.12, -1627.953, -2.423912, 0.004900447, 0.07899015, 323.4419, 1.452837, 1.160977, 2.509531
 
